Episode, Reward
1,-226.47643394901988
2,-248.4339054812246
3,-306.16183578149327
4,-300.6795997318348
5,-304.27803002509154
6,-151.20877569507434
7,-303.70215295753917
8,-248.86872564813424
9,-201.41806817495555
10,-300.75912070291963
11,-222.67131020918615
12,-287.0730808927317
13,-185.80115919329901
14,-301.40786907628825
15,41.4475294830059
16,-298.9906323791486
17,-303.7523872751651
18,-212.23613129539487
19,-309.59254896228725
20,-303.6522692562642
21,-173.00022356487244
22,-260.1989287966209
23,-261.2647940863692
24,-270.75786738609474
25,-309.44338032352243
26,-191.13194711048754
27,-208.06202363810368
28,-306.23809540843166
29,-194.73923136182017
30,-134.08173864014717
31,-214.72950346385073
32,-172.11294509246366
33,-70.49473675903397
34,-251.81719234826662
35,-204.66212933489828
36,-238.65082590433914
37,-211.5152384603959
38,-154.09802307688912
39,-303.36047360143766
40,131.93271674710448
41,-213.64216369970856
42,-54.83422576980615
43,-303.92146156619464
44,-246.9142303631339
45,-199.20863531862878
46,-31.9709073788321
47,-273.7993685074809
48,-306.2144625329811
49,-154.90883012547943
50,18.906483681015878
51,-224.11755528827024
52,-253.21719000992178
53,-101.15753081499368
54,-301.33692821214925
55,-303.5646714486005
56,-266.89130934673136
57,-304.6984562264592
58,-52.14753665178744
59,-302.26192347100255
60,-238.90255138433434
61,-240.74353951352953
62,-264.7402693200466
63,-218.60379577505773
64,-220.0991181027258
65,-111.48406939830615
66,-301.09872286865885
67,-304.7665096459308
68,-306.51704906761023
69,-214.9891924895395
70,-258.8534398614168
71,-229.98061943411804
72,-234.6016263437454
73,-209.35390938779685
74,-114.09197099454389
75,-3.258481658255691
76,-129.57897175756662
77,-235.43036077164166
78,-281.6420661103398
79,-269.81659832107994
80,-291.423496079986
81,-30.495322878751594
82,-222.99812343969882
83,-304.4708892620194
84,-248.38164695891948
85,-62.58739801750495
86,-248.48569615279462
87,-226.28036558029305
88,-243.18004426892503
89,-97.54444737072907
90,-300.09540877862685
91,-207.60138116492595
92,-255.98718971002177
93,-199.30342700280457
94,-59.90477091837222
95,-226.24137294727154
96,3.6350682893107242
97,15.315949735711857
98,-161.32184017671344
99,-300.9958124482939
100,46.09481644190674
101,-301.59642158407223
102,-246.80720179733663
103,-144.1187705083629
104,-192.06843353683686
105,-111.24475016156849
106,-303.99617897073927
107,-307.94560649940104
108,-224.22698061168833
109,-236.72003955065236
110,-180.93681303116358
111,-141.02832160887493
112,-161.7983831733686
113,-120.69085536876516
114,-268.6647964275846
115,-128.6902033231867
116,-216.86440234440707
117,-68.7743387995529
118,-242.54748316107592
119,-97.00816943093577
120,-44.30006232894542
121,-302.95294982940777
122,-271.4151748607297
123,-290.08513452295466
124,-197.4907569459693
125,-260.39541365143
126,-289.5209920833399
127,-230.2252490918446
128,-245.33311710733298
129,-255.72742105372885
130,-300.10214378552683
131,-233.03793948872288
132,-301.1408633617431
133,-67.6507917450739
134,-77.05239941764553
135,-301.5725190191512
136,-276.22429185595786
137,-148.27552666811403
138,-142.493959988575
139,-134.3953537226699
140,-219.38643704163528
141,-166.6882357530321
142,-43.70488036698754
143,-295.4608849151259
144,-303.7820292640919
145,-274.8003517467123
146,-261.9779997014317
147,-279.52778848781696
148,-201.4909583778804
149,-302.4175672435767
150,-300.9701702366271
151,-158.52905290953817
152,-192.31080815181434
153,-290.0320095019432
154,-258.1929211621193
155,-185.2120215635216
156,-304.2204858466715
157,27.462887864340356
158,-165.24821250755386
159,-301.0986959983497
160,-304.5921860168579
161,69.19976466005292
162,-303.6342776108124
163,-71.44766504986157
164,-145.1510953437367
165,-235.78807365055764
166,-189.19785084501592
167,-208.68553661181286
168,-151.33228374903757
169,-303.0373424136072
